,date,returns,rewards,portfolio_values
369,2024-09-17,0.0033197402954101562,-851.3229454915956,128874.09375
370,2024-09-18,-0.0010706186294555664,-853.6561003467469,128736.1171875
371,2024-09-19,0.011907458305358887,-856.6905111942795,130269.0390625
372,2024-09-20,-0.0008296370506286621,-859.6339154421273,130160.9609375
373,2024-09-23,-0.0002873539924621582,-862.5047624008364,130123.5625
374,2024-09-24,-0.0003287792205810547,-865.3087809504444,130080.78125
375,2024-09-25,-0.010348796844482422,-867.4432950034222,128734.6015625
376,2024-09-26,-0.00010925531387329102,-869.5276562394732,128720.5390625
377,2024-09-27,0.006651878356933594,-871.9685945854839,129576.765625
378,2024-09-30,0.0055620670318603516,-874.7157405556915,130297.4765625
379,2024-10-01,-0.0043457746505737305,-877.1571528479485,129731.234375
380,2024-10-02,2.86102294921875e-06,-879.5534264681836,129731.609375
381,2024-10-03,-0.004231393337249756,-881.67089123359,129182.6640625
382,2024-10-04,0.008078455924987793,-884.218060175119,130226.265625
383,2024-10-07,-0.0052266716957092285,-886.4300003928919,129545.6171875
384,2024-10-08,0.0006117820739746094,-888.6331007620585,129624.875
385,2024-10-09,0.009085655212402344,-891.3372538317325,130802.6015625
386,2024-10-10,-0.0026987791061401367,-893.8459419590158,130449.59375
387,2024-10-11,0.009367704391479492,-896.8813069231547,131671.609375
388,2024-10-14,0.0055561065673828125,-900.2400896858951,132403.1875
389,2024-10-15,-0.0006109476089477539,-903.5070498415273,132322.296875
390,2024-10-16,0.0014989376068115234,-906.8178644311203,132520.640625
391,2024-10-17,-0.0007485747337341309,-910.0303073372063,132421.4375
392,2024-10-18,0.0018645524978637695,-913.312387844683,132668.34375
